WARNING 2021-01-29 08:41:25,700 basehttp "GET /favicon.ico HTTP/1.1" 404 2668 157
INFO 2021-01-29 08:41:32,231 views New user is added to greeting database. 27
INFO 2021-01-29 08:41:32,232 basehttp "POST / HTTP/1.1" 302 0 157
INFO 2021-01-29 08:41:32,238 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:41:32,245 basehttp "GET /show HTTP/1.1" 200 2578 157
WARNING 2021-01-29 08:41:32,268 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:41:32,268 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
INFO 2021-01-29 08:41:34,550 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:41:34,556 basehttp "GET /show HTTP/1.1" 200 2578 157
WARNING 2021-01-29 08:41:34,582 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:41:34,583 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:41:34,595 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:41:35,321 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:41:35,349 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:41:35,350 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
INFO 2021-01-29 08:41:36,143 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:41:36,147 basehttp "GET /show HTTP/1.1" 200 2578 157
WARNING 2021-01-29 08:41:36,176 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:41:36,178 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:42:37,261 autoreload C:\Users\sanke\PycharmProjects\MyGreetingApp\GreetingApp\Greeting\models.py changed, reloading. 240
INFO 2021-01-29 08:42:38,218 autoreload Watching for file changes with StatReloader 617
INFO 2021-01-29 08:42:40,639 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:42:40,670 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:42:40,670 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:42:40,682 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:42:44,367 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:42:44,388 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:42:44,388 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:42:48,826 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:42:48,861 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:42:48,866 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:42:48,982 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:42:49,004 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:42:49,005 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:42:49,019 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:42:49,171 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:42:49,203 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:42:49,203 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:42:49,316 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:42:49,347 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:42:49,349 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:42:49,362 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:42:49,472 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:42:49,499 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:42:49,500 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:42:49,513 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:42:49,617 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:42:49,643 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:42:49,645 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:42:49,761 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:42:49,788 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:42:49,790 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:42:49,906 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:42:49,937 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:42:49,937 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:42:54,551 views New user is added to greeting database. 27
INFO 2021-01-29 08:42:54,553 basehttp "POST / HTTP/1.1" 302 0 157
INFO 2021-01-29 08:42:54,557 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:42:54,575 basehttp "GET /show HTTP/1.1" 200 3488 157
WARNING 2021-01-29 08:42:54,600 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:42:54,602 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:46:12,354 autoreload Watching for file changes with StatReloader 617
INFO 2021-01-29 08:46:14,805 basehttp "GET / HTTP/1.1" 200 2748 157
WARNING 2021-01-29 08:46:14,840 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:46:14,842 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:46:16,863 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:46:16,873 basehttp "GET /show HTTP/1.1" 200 3227 157
WARNING 2021-01-29 08:46:16,903 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
WARNING 2021-01-29 08:46:16,904 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:46:16,912 basehttp "GET /static/js/greeting.js HTTP/1.1" 404 1668 157
INFO 2021-01-29 08:49:12,397 autoreload C:\Users\sanke\PycharmProjects\MyGreetingApp\GreetingApp\Greeting\urls.py changed, reloading. 240
INFO 2021-01-29 08:49:13,355 autoreload Watching for file changes with StatReloader 617
INFO 2021-01-29 08:49:16,183 basehttp "GET / HTTP/1.1" 200 2743 157
WARNING 2021-01-29 08:49:16,214 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
WARNING 2021-01-29 08:49:16,216 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:49:16,227 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:49:20,445 views New user is added to greeting database. 27
INFO 2021-01-29 08:49:20,450 basehttp "POST / HTTP/1.1" 302 0 157
INFO 2021-01-29 08:49:20,455 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:49:20,469 basehttp "GET /show HTTP/1.1" 200 3852 157
WARNING 2021-01-29 08:49:20,490 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:49:20,491 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:49:33,131 views Update page is rendered for user 1. 57
INFO 2021-01-29 08:49:33,136 basehttp "GET /update/1 HTTP/1.1" 200 2725 157
WARNING 2021-01-29 08:49:33,167 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:49:33,168 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:49:39,080 views data for user id 1 is updated in greeting databse  51
INFO 2021-01-29 08:49:39,081 basehttp "POST /update/1 HTTP/1.1" 302 0 157
INFO 2021-01-29 08:49:39,086 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:49:39,098 basehttp "GET /show HTTP/1.1" 200 3861 157
WARNING 2021-01-29 08:49:39,126 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
WARNING 2021-01-29 08:49:39,131 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:49:39,144 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:54:56,434 autoreload C:\Users\sanke\PycharmProjects\MyGreetingApp\GreetingApp\GreetingApp\settings.py changed, reloading. 240
INFO 2021-01-29 08:54:57,400 autoreload Watching for file changes with StatReloader 617
INFO 2021-01-29 08:54:59,321 basehttp "GET / HTTP/1.1" 200 2743 157
WARNING 2021-01-29 08:54:59,352 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:54:59,354 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:55:04,204 views New user is added to greeting database. 27
INFO 2021-01-29 08:55:04,207 basehttp "POST / HTTP/1.1" 302 0 157
INFO 2021-01-29 08:55:04,211 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:55:04,296 basehttp "GET /show HTTP/1.1" 200 4478 157
WARNING 2021-01-29 08:55:04,322 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:55:04,322 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
WARNING 2021-01-29 08:55:04,333 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:55:18,125 basehttp "GET /admin/ HTTP/1.1" 302 0 157
INFO 2021-01-29 08:55:18,148 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2198 157
INFO 2021-01-29 08:55:18,166 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2138 157
INFO 2021-01-29 08:55:18,167 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 16307 157
INFO 2021-01-29 08:55:18,168 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 1360 157
INFO 2021-01-29 08:55:18,168 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 1185 157
INFO 2021-01-29 08:55:18,169 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 18339 157
INFO 2021-01-29 08:55:19,756 basehttp "GET /admin/ HTTP/1.1" 302 0 157
INFO 2021-01-29 08:55:19,775 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 2198 157
INFO 2021-01-29 08:55:19,799 basehttp "GET /static/admin/css/fonts.css HTTP/1.1" 304 0 157
INFO 2021-01-29 08:55:19,837 basehttp "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0 157
INFO 2021-01-29 08:55:19,837 basehttp "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0 157
INFO 2021-01-29 08:55:21,266 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 2360 157
INFO 2021-01-29 08:55:21,294 basehttp "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0 157
INFO 2021-01-29 08:55:32,211 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 2360 157
INFO 2021-01-29 08:55:39,619 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:55:39,625 basehttp "GET /show HTTP/1.1" 200 4217 157
WARNING 2021-01-29 08:55:39,651 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:55:39,651 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
WARNING 2021-01-29 08:55:39,661 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:55:51,189 views Update page is rendered for user 1. 57
INFO 2021-01-29 08:55:51,193 basehttp "GET /update/1 HTTP/1.1" 200 2726 157
WARNING 2021-01-29 08:55:51,220 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:55:51,221 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:56:03,184 views data for user id 1 is updated in greeting databse  51
INFO 2021-01-29 08:56:03,184 basehttp "POST /update/1 HTTP/1.1" 302 0 157
INFO 2021-01-29 08:56:03,189 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:56:03,200 basehttp "GET /show HTTP/1.1" 200 4481 157
WARNING 2021-01-29 08:56:03,224 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:56:03,226 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:56:04,766 views Update page is rendered for user 2. 57
INFO 2021-01-29 08:56:04,771 basehttp "GET /update/2 HTTP/1.1" 200 2723 157
WARNING 2021-01-29 08:56:04,795 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:56:04,796 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:56:17,397 views data for user id 2 is updated in greeting databse  51
INFO 2021-01-29 08:56:17,398 basehttp "POST /update/2 HTTP/1.1" 302 0 157
INFO 2021-01-29 08:56:17,401 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:56:17,411 basehttp "GET /show HTTP/1.1" 200 4490 157
WARNING 2021-01-29 08:56:17,434 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:56:17,435 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:56:24,670 views Update page is rendered for user 3. 57
INFO 2021-01-29 08:56:24,675 basehttp "GET /update/3 HTTP/1.1" 200 2722 157
WARNING 2021-01-29 08:56:24,700 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
WARNING 2021-01-29 08:56:24,700 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:56:24,712 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:56:40,416 views data for user id 3 is updated in greeting databse  51
INFO 2021-01-29 08:56:40,417 basehttp "POST /update/3 HTTP/1.1" 302 0 157
INFO 2021-01-29 08:56:40,422 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:56:40,433 basehttp "GET /show HTTP/1.1" 200 4499 157
WARNING 2021-01-29 08:56:40,458 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
WARNING 2021-01-29 08:56:40,459 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
